record,Bullied_on_school_property_in_past_12_months,Bullied_not_on_school_property_in_past_12_months,Cyber_bullied_in_past_12_months,Custom_Age,Sex,Physically_attacked,Physical_fighting,Felt_lonely,Close_friends,Miss_school_no_permission,Other_students_kind_and_helpful,Parents_understand_problems,Most_of_the_time_or_always_felt_lonely,Missed_classes_or_school_without_permission,Were_underweight,Were_overweight,Were_obese
2242,No,No,No,15 years old,Male,0 times,0 times,Sometimes,3 or more,0 days,Sometimes,Rarely,No,No,No,No,No
2243,No,No,No,15 years old,Male,0 times,0 times,Rarely,2,0 days,Sometimes,Most of the time,No,No,No,No,No
2251,No,No,No,17 years old,Male,0 times,0 times,Never,1,0 days,Most of the time,Always,No,No,No,No,No
2254,Yes,No,Yes,17 years old,Female,4 or 5 times,0 times,Sometimes,3 or more,0 days,Sometimes,Rarely,No,No,No,No,No
2255,Yes,Yes,No,16 years old,Male,1 time,1 time,Sometimes,3 or more,0 days,Sometimes,Sometimes,No,No,No,No,No
2256,Yes,No,No,16 years old,Male,0 times,0 times,Sometimes,3 or more,0 days,Sometimes,Sometimes,No,No,No,No,No
2257,No,No,No,17 years old,Female,0 times,0 times,Sometimes,2,1 or 2 days,Most of the time,Sometimes,No,Yes,No,Yes,Yes
2260,No,No,No,14 years old,Female,1 time,0 times,Most of the time,3 or more,0 days,Always,Sometimes,Yes,No,No,No,No
2261,No,No,No,13 years old,Male,0 times,0 times,Rarely,1,0 days,Never,Sometimes,No,No,No,No,No
2275,No,No,No,14 years old,Female,1 time,2 or 3 times,Rarely,3 or more,0 days,Sometimes,Sometimes,No,No,No,No,No
2276,No,No,No,14 years old,Male,0 times,0 times,Never,0,0 days,Rarely,Always,No,No,No,No,No
2277,No,No,No,13 years old,Male,0 times,0 times,Rarely,3 or more,1 or 2 days,Always,Never,No,Yes,No,Yes,No
2278,No,No,No,13 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Sometimes,Never,No,No,No,Yes,No
2280,No,No,No,14 years old,Female,0 times,0 times,Never,3 or more,0 days,Sometimes,Sometimes,No,No,No,No,No
2282,No,No,Yes,15 years old,Male,0 times,2 or 3 times,Never,3 or more,10 or more days,Most of the time,Always,No,Yes,No,No,No
2295,Yes,No,No,14 years old,Female,0 times,0 times,Most of the time,1,0 days,Never,Never,Yes,No,No,No,No
2296,No,No,Yes,16 years old,Female,0 times,0 times,Sometimes,3 or more,3 to 5 days,Most of the time,Never,No,Yes,No,No,No
2299,No,No,No,14 years old,Female,0 times,0 times,Rarely,3 or more,1 or 2 days,Rarely,Never,No,Yes,No,Yes,No
2302,No,No,No,14 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Rarely,No,No,No,Yes,No
2304,No,No,No,16 years old,Female,0 times,10 or 11 times,Rarely,3 or more,0 days,Most of the time,Sometimes,No,No,No,Yes,No
2314,No,No,No,15 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Always,Rarely,No,No,No,No,No
2316,Yes,Yes,Yes,15 years old,Female,0 times,0 times,Sometimes,3 or more,3 to 5 days,Sometimes,Rarely,No,Yes,No,No,No
2317,No,Yes,Yes,17 years old,Male,2 or 3 times,2 or 3 times,Rarely,2,3 to 5 days,Always,Sometimes,No,Yes,No,No,No
2319,No,No,No,17 years old,Male,0 times,1 time,Sometimes,1,0 days,Always,Most of the time,No,No,No,No,No
2323,Yes,Yes,No,17 years old,Female,0 times,0 times,Sometimes,2,1 or 2 days,Most of the time,Sometimes,No,Yes,No,No,No
2324,Yes,Yes,No,15 years old,Female,0 times,0 times,Sometimes,2,0 days,Rarely,Never,No,No,No,No,No
2326,Yes,No,No,17 years old,Female,0 times,0 times,Sometimes,3 or more,3 to 5 days,Never,Most of the time,No,Yes,No,No,No
2327,No,No,No,15 years old,Male,0 times,0 times,Never,3 or more,1 or 2 days,Most of the time,Most of the time,No,Yes,No,No,No
2329,Yes,No,Yes,17 years old,Female,0 times,0 times,Most of the time,2,3 to 5 days,Rarely,Rarely,Yes,Yes,No,No,No
2330,Yes,Yes,No,17 years old,Female,0 times,0 times,Rarely,3 or more,1 or 2 days,Rarely,Never,No,Yes,No,Yes,No
2332,No,Yes,No,16 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Always,No,No,No,No,No
2334,No,Yes,No,17 years old,Female,1 time,0 times,Sometimes,3 or more,0 days,Always,Always,No,No,No,Yes,No
2336,No,No,No,17 years old,Male,1 time,1 time,Sometimes,1,1 or 2 days,Sometimes,Rarely,No,Yes,No,No,No
2337,No,No,No,17 years old,Male,0 times,0 times,Never,3 or more,0 days,Always,Sometimes,No,No,No,No,No
2340,No,No,No,17 years old,Male,0 times,0 times,Rarely,3 or more,3 to 5 days,Sometimes,Sometimes,No,Yes,No,No,No
2341,No,No,No,17 years old,Male,0 times,1 time,Rarely,3 or more,6 to 9 days,Never,Rarely,No,Yes,No,Yes,No
2342,Yes,Yes,No,17 years old,Female,0 times,0 times,Most of the time,3 or more,1 or 2 days,Most of the time,Always,Yes,Yes,No,No,No
2345,No,No,No,13 years old,Female,0 times,0 times,Sometimes,3 or more,1 or 2 days,Sometimes,Always,No,Yes,No,Yes,No
2347,No,No,No,17 years old,Male,0 times,6 or 7 times,Never,3 or more,1 or 2 days,Always,Most of the time,No,Yes,No,No,No
2351,No,No,No,13 years old,Male,0 times,0 times,Never,3 or more,0 days,Rarely,Most of the time,No,No,No,Yes,No
2352,No,No,No,13 years old,Female,0 times,0 times,Never,3 or more,1 or 2 days,Rarely,Never,No,Yes,No,No,No
2353,No,Yes,No,13 years old,Female,1 time,0 times,Rarely,2,1 or 2 days,Rarely,Rarely,No,Yes,No,No,No
2358,No,No,Yes,15 years old,Male,0 times,2 or 3 times,Sometimes,2,0 days,Most of the time,Never,No,No,Yes,No,No
2359,No,Yes,No,14 years old,Female,0 times,0 times,Most of the time,3 or more,0 days,Always,Rarely,Yes,No,No,No,No
2360,No,No,No,14 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Rarely,Most of the time,No,No,No,Yes,Yes
2363,No,Yes,Yes,15 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Always,Sometimes,No,No,No,Yes,No
2367,Yes,No,Yes,15 years old,Female,1 time,0 times,Rarely,3 or more,1 or 2 days,Rarely,Rarely,No,Yes,No,No,No
2368,No,No,No,16 years old,Female,0 times,0 times,Never,3 or more,0 days,Rarely,Always,No,No,No,No,No
2370,Yes,No,Yes,16 years old,Male,0 times,0 times,Sometimes,1,1 or 2 days,Always,Never,No,Yes,No,No,No
2374,No,No,No,16 years old,Female,0 times,0 times,Most of the time,1,0 days,Never,Always,Yes,No,No,No,No
2375,No,No,Yes,16 years old,Female,0 times,0 times,Rarely,3 or more,1 or 2 days,Always,Always,No,Yes,No,Yes,Yes
2377,Yes,No,Yes,13 years old,Male,0 times,2 or 3 times,Never,3 or more,10 or more days,Most of the time,Sometimes,No,Yes,No,No,No
2388,No,No,No,13 years old,Female,8 or 9 times,1 time,Always,3 or more,0 days,Rarely,Always,Yes,No,No,No,No
2389,Yes,No,No,13 years old,Female,1 time,2 or 3 times,Sometimes,3 or more,0 days,Rarely,Never,No,No,No,No,No
2392,No,No,No,14 years old,Male,0 times,0 times,Never,3 or more,3 to 5 days,Always,Always,No,Yes,No,No,No
2394,No,No,Yes,13 years old,Female,0 times,1 time,Most of the time,3 or more,3 to 5 days,Sometimes,Rarely,Yes,Yes,No,No,No
2395,No,No,No,14 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Rarely,No,No,No,No,No
2400,No,No,No,14 years old,Male,0 times,0 times,Never,3 or more,0 days,Sometimes,Sometimes,No,No,No,No,No
2404,No,No,No,13 years old,Male,0 times,0 times,Always,0,0 days,Most of the time,Always,Yes,No,No,No,No
2409,No,No,No,13 years old,Female,0 times,0 times,Never,3 or more,0 days,Never,Always,No,No,No,No,No
2419,Yes,Yes,Yes,15 years old,Male,1 time,0 times,Sometimes,0,0 days,Sometimes,Never,No,No,No,No,No
2421,No,No,No,15 years old,Male,0 times,0 times,Sometimes,0,0 days,Most of the time,Rarely,No,No,No,No,No
2434,Yes,No,Yes,16 years old,Female,0 times,1 time,Most of the time,3 or more,0 days,Rarely,Always,Yes,No,No,No,No
2435,Yes,Yes,No,14 years old,Female,1 time,0 times,Never,2,0 days,Never,Sometimes,No,No,No,Yes,Yes
2438,No,No,No,15 years old,Female,0 times,0 times,Never,3 or more,0 days,Rarely,Most of the time,No,No,No,Yes,Yes
2439,No,No,No,14 years old,Female,0 times,0 times,Sometimes,1,0 days,Rarely,Rarely,No,No,No,No,No
2441,No,No,No,15 years old,Female,0 times,0 times,Never,3 or more,0 days,Rarely,Never,No,No,No,No,No
2443,Yes,No,No,14 years old,Female,0 times,0 times,Sometimes,0,0 days,Rarely,Rarely,No,No,No,No,No
2445,No,No,No,14 years old,Male,0 times,12 or more times,Never,3 or more,0 days,Never,Always,No,No,No,Yes,No
2450,No,No,No,16 years old,Male,2 or 3 times,0 times,Sometimes,3 or more,3 to 5 days,Never,Never,No,Yes,Yes,No,No
2452,No,Yes,Yes,15 years old,Female,1 time,1 time,Rarely,2,3 to 5 days,Always,Rarely,No,Yes,No,Yes,No
2454,Yes,Yes,Yes,15 years old,Male,2 or 3 times,10 or 11 times,Never,2,6 to 9 days,Never,Sometimes,No,Yes,No,No,No
2455,Yes,No,No,15 years old,Male,12 or more times,0 times,Sometimes,2,0 days,Rarely,Never,No,No,No,No,No
2461,No,No,Yes,15 years old,Female,0 times,0 times,Most of the time,3 or more,6 to 9 days,Sometimes,Never,Yes,Yes,No,No,No
2462,No,No,No,15 years old,Male,0 times,2 or 3 times,Sometimes,2,0 days,Most of the time,Never,No,No,No,Yes,Yes
2468,No,No,No,14 years old,Male,0 times,1 time,Never,3 or more,1 or 2 days,Most of the time,Most of the time,No,Yes,No,No,No
2469,No,No,No,14 years old,Female,0 times,0 times,Most of the time,1,0 days,Sometimes,Rarely,Yes,No,No,Yes,Yes
2471,No,No,Yes,16 years old,Male,2 or 3 times,4 or 5 times,Never,2,0 days,Always,Never,No,No,No,No,No
2472,No,No,No,15 years old,Male,0 times,0 times,Rarely,3 or more,3 to 5 days,Always,Sometimes,No,Yes,No,No,No
2475,No,No,No,16 years old,Male,0 times,2 or 3 times,Always,2,3 to 5 days,Sometimes,Never,Yes,Yes,No,Yes,Yes
2477,Yes,Yes,Yes,14 years old,Female,2 or 3 times,0 times,Always,3 or more,0 days,Rarely,Never,Yes,No,No,No,No
2479,Yes,Yes,Yes,15 years old,Male,0 times,0 times,Rarely,1,0 days,Never,Never,No,No,No,No,No
2480,Yes,No,No,15 years old,Female,1 time,2 or 3 times,Sometimes,3 or more,0 days,Sometimes,Rarely,No,No,No,No,No
2482,No,Yes,Yes,16 years old,Female,1 time,0 times,Most of the time,3 or more,3 to 5 days,Rarely,Always,Yes,Yes,No,Yes,No
2483,Yes,Yes,No,15 years old,Female,1 time,1 time,Always,3 or more,10 or more days,Rarely,Rarely,Yes,Yes,No,No,No
2487,No,Yes,No,16 years old,Male,1 time,1 time,Rarely,3 or more,1 or 2 days,Sometimes,Never,No,Yes,No,Yes,Yes
2488,No,No,Yes,16 years old,Male,0 times,1 time,Sometimes,3 or more,1 or 2 days,Most of the time,Sometimes,No,Yes,No,No,No
2489,Yes,Yes,Yes,15 years old,Female,0 times,1 time,Sometimes,3 or more,0 days,Rarely,Always,No,No,No,No,No
2490,No,No,No,15 years old,Male,0 times,0 times,Never,2,3 to 5 days,Always,Most of the time,No,Yes,No,No,No
2497,No,No,No,15 years old,Female,0 times,0 times,Never,3 or more,1 or 2 days,Most of the time,Most of the time,No,Yes,No,No,No
2505,Yes,No,No,16 years old,Male,0 times,0 times,Never,1,0 days,Always,Always,No,No,No,No,No
2506,No,No,No,16 years old,Female,0 times,0 times,Rarely,2,0 days,Sometimes,Rarely,No,No,No,No,No
2508,No,No,No,16 years old,Male,1 time,2 or 3 times,Never,3 or more,1 or 2 days,Most of the time,Never,No,Yes,Yes,No,No
2510,Yes,Yes,Yes,15 years old,Female,2 or 3 times,2 or 3 times,Most of the time,2,1 or 2 days,Never,Rarely,Yes,Yes,No,Yes,No
2514,No,No,No,15 years old,Female,0 times,0 times,Most of the time,2,1 or 2 days,Rarely,Rarely,Yes,Yes,No,No,No
2516,No,No,No,15 years old,Female,0 times,0 times,Rarely,3 or more,6 to 9 days,Most of the time,Most of the time,No,Yes,No,Yes,Yes
2518,Yes,Yes,No,15 years old,Male,4 or 5 times,2 or 3 times,Sometimes,3 or more,0 days,Rarely,Never,No,No,No,No,No
2519,No,No,No,17 years old,Male,1 time,0 times,Rarely,3 or more,1 or 2 days,Most of the time,Sometimes,No,Yes,No,No,No
2520,No,No,No,16 years old,Female,0 times,2 or 3 times,Always,2,0 days,Rarely,Sometimes,Yes,No,No,No,No
2522,No,No,No,15 years old,Male,0 times,0 times,Most of the time,3 or more,0 days,Rarely,Never,Yes,No,Yes,No,No
2523,No,No,No,15 years old,Female,0 times,0 times,Rarely,2,0 days,Sometimes,Most of the time,No,No,No,Yes,Yes
2524,No,No,No,15 years old,Male,0 times,0 times,Never,3 or more,0 days,Sometimes,Most of the time,No,No,No,Yes,No
2525,No,Yes,No,17 years old,Female,0 times,0 times,Sometimes,2,0 days,Always,Always,No,No,No,No,No
2529,No,No,No,16 years old,Male,0 times,0 times,Sometimes,0,0 days,Always,Rarely,No,No,No,No,No
2530,No,No,No,16 years old,Male,0 times,0 times,Most of the time,3 or more,0 days,Most of the time,Most of the time,Yes,No,No,No,No
2531,No,No,Yes,16 years old,Female,0 times,0 times,Never,0,0 days,Always,Never,No,No,No,No,No
2535,No,No,No,16 years old,Female,0 times,0 times,Most of the time,2,1 or 2 days,Sometimes,Never,Yes,Yes,No,Yes,Yes
2536,No,No,No,16 years old,Male,0 times,0 times,Never,3 or more,0 days,Rarely,Never,No,No,No,No,No
2538,No,No,No,16 years old,Male,0 times,0 times,Rarely,1,0 days,Sometimes,Most of the time,No,No,No,Yes,No
2540,No,Yes,No,16 years old,Female,0 times,0 times,Never,3 or more,3 to 5 days,Most of the time,Most of the time,No,Yes,No,No,No
2541,No,No,No,16 years old,Female,0 times,1 time,Always,3 or more,6 to 9 days,Rarely,Never,Yes,Yes,No,No,No
2542,No,Yes,No,16 years old,Female,2 or 3 times,2 or 3 times,Sometimes,3 or more,0 days,Rarely,Most of the time,No,No,No,Yes,No
2546,No,No,No,16 years old,Female,0 times,0 times,Most of the time,3 or more,0 days,Most of the time,Never,Yes,No,No,Yes,No
2549,No,No,No,17 years old,Male,0 times,1 time,Sometimes,2,1 or 2 days,Sometimes,Never,No,Yes,No,No,No
2551,No,No,No,16 years old,Female,0 times,0 times,Rarely,3 or more,6 to 9 days,Sometimes,Rarely,No,Yes,No,No,No
2555,Yes,Yes,No,13 years old,Male,1 time,2 or 3 times,Most of the time,2,0 days,Rarely,Always,Yes,No,No,No,No
2557,No,No,Yes,14 years old,Male,0 times,1 time,Sometimes,3 or more,0 days,Never,Never,No,No,No,No,No
2558,No,No,No,14 years old,Female,0 times,0 times,Never,3 or more,0 days,Rarely,Sometimes,No,No,No,No,No
2559,Yes,Yes,No,14 years old,Female,1 time,0 times,Most of the time,2,0 days,Never,Never,Yes,No,No,No,No
2562,No,No,No,13 years old,Female,0 times,1 time,Sometimes,3 or more,0 days,Never,Sometimes,No,No,No,No,No
2570,No,No,No,14 years old,Female,0 times,0 times,Most of the time,1,3 to 5 days,Never,Never,Yes,Yes,No,No,No
2571,Yes,Yes,No,13 years old,Female,0 times,1 time,Sometimes,1,0 days,Rarely,Never,No,No,No,Yes,No
2573,Yes,No,No,13 years old,Female,0 times,0 times,Most of the time,3 or more,0 days,Rarely,Never,Yes,No,No,No,No
2575,No,No,No,13 years old,Female,0 times,0 times,Always,3 or more,0 days,Rarely,Always,Yes,No,No,Yes,No
2577,Yes,Yes,No,15 years old,Male,12 or more times,0 times,Most of the time,3 or more,0 days,Most of the time,Rarely,Yes,No,No,Yes,No
2579,No,No,No,13 years old,Female,0 times,0 times,Sometimes,2,0 days,Most of the time,Sometimes,No,No,No,No,No
2586,Yes,Yes,Yes,13 years old,Female,0 times,2 or 3 times,Always,3 or more,0 days,Rarely,Most of the time,Yes,No,No,Yes,Yes
2589,Yes,Yes,Yes,13 years old,Female,1 time,0 times,Rarely,1,0 days,Sometimes,Sometimes,No,No,No,No,No
2591,No,No,No,13 years old,Female,0 times,12 or more times,Rarely,3 or more,0 days,Sometimes,Most of the time,No,No,No,No,No
2595,No,No,No,13 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Sometimes,No,No,No,No,No
2596,No,Yes,No,14 years old,Female,0 times,0 times,Most of the time,3 or more,0 days,Never,Sometimes,Yes,No,No,Yes,No
2601,No,No,No,13 years old,Male,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Always,No,No,No,Yes,No
2607,No,No,No,15 years old,Male,0 times,4 or 5 times,Never,3 or more,0 days,Always,Rarely,No,No,No,No,No
2610,No,Yes,Yes,14 years old,Female,1 time,0 times,Rarely,3 or more,3 to 5 days,Most of the time,Always,No,Yes,No,Yes,No
2611,Yes,Yes,Yes,15 years old,Female,0 times,0 times,Most of the time,0,0 days,Sometimes,Rarely,Yes,No,No,No,No
2613,Yes,Yes,Yes,14 years old,Male,0 times,0 times,Rarely,2,0 days,Sometimes,Most of the time,No,No,No,No,No
2616,Yes,No,No,15 years old,Male,0 times,2 or 3 times,Never,3 or more,10 or more days,Sometimes,Most of the time,No,Yes,No,No,No
